id	taxonID	scientificName
wfo-0000194070	wfo-0000194070	Indigofera obscura N.E.Br.
wfo-0000211012	wfo-0000211012	Melolobium aethiopicum (L.) Druce
wfo-0000196656	wfo-0000196656	Indigofera mauritanica (L.) Thunb.
wfo-0000192503	wfo-0000192503	Indigofera grisophylla Fourc.
wfo-0001334026	wfo-0001334026	Xiphotheca rosmarinifolia A.L.Schutte
wfo-0001260431	wfo-0001260431	Liparia genistoides (Lam.) A.L.Schutte
wfo-0000194787	wfo-0000194787	Argyrolobium speciosum Eckl. & Zeyh.
wfo-0001057961	wfo-0001057961	Liparia capitata Thunb.
wfo-0000210708	wfo-0000210708	Crotalaria griquensis L.Bolus
wfo-0000170677	wfo-0000170677	Schotia afra (L.) Thunb.
wfo-0000210648	wfo-0000210648	Crotalaria distans Benth. subsp. distans
wfo-0000212406	wfo-0000212406	Psoralea pinnata L.
wfo-0000197254	wfo-0000197254	Liparia parva Vogel ex Walp.
wfo-0001228434	wfo-0001228434	Liparia striata A.L.Schutte
wfo-0000212414	wfo-0000212414	Psoralea verrucosa Willd.
wfo-0000731375	wfo-0000731375	Indigofera jucunda Schrire
wfo-0000212411	wfo-0000212411	Psoralea tenuissima E.Mey.
wfo-0000211606	wfo-0000211606	Aspalathus barbigera R.Dahlgren
wfo-0000211586	wfo-0000211586	Aspalathus acifera R.Dahlgren
wfo-0000212384	wfo-0000212384	Psoralea filifolia Eckl. & Zeyh.
wfo-0000552055	wfo-0000552055	Aspalathus caledonensis R.Dahlgren
wfo-0000212391	wfo-0000212391	Psoralea gueinzii Harv.
wfo-0000211593	wfo-0000211593	Aspalathus acanthoclada R.Dahlgren
wfo-0000211324	wfo-0000211324	Aspalathus cymbiformis DC.
wfo-0000212371	wfo-0000212371	Psoralea alata (Thunb.) T.M.Salter
wfo-0000211426	wfo-0000211426	Aspalathus excelsa R.Dahlgren
wfo-0000211278	wfo-0000211278	Aspalathus globosa Andrews
wfo-0000750070	wfo-0000750070	Psoralea margaretiflora C.H.Stirt. & V.R.Clark
wfo-0000211187	wfo-0000211187	Aspalathus inops Eckl. & Zeyh.
wfo-0001228098	wfo-0001228098	Psoralea abbottii C.H.Stirt.
wfo-0000211188	wfo-0000211188	Aspalathus marginata Harv.
wfo-0000212381	wfo-0000212381	Psoralea ensifolia (Houtt.) Merr.
wfo-0000211516	wfo-0000211516	Aspalathus longipes Harv.
wfo-0000211631	wfo-0000211631	Aspalathus microphylla DC.
wfo-0000212380	wfo-0000212380	Psoralea axillaris L.f.
wfo-0000211680	wfo-0000211680	Aspalathus nudiflora Harv.
wfo-0001440087	wfo-0001440087	Aeschynomene nodulosa var. glabrescens J.B.Gillett
wfo-0000211245	wfo-0000211245	Aspalathus heterophylla L.f.
wfo-0000170926	wfo-0000170926	Tamarindus indica L.
wfo-0000173858	wfo-0000173858	Aeschynomene rehmannii Schinz
wfo-0000212743	wfo-0000212743	Vicia hirsuta (L.) Gray
wfo-0000211610	wfo-0000211610	Aspalathus linearis (Burm.f.) R.Dahlgren
wfo-0000180822	wfo-0000180822	Erythrina humeana Spreng.
wfo-0000211391	wfo-0000211391	Aspalathus lamarckiana R.Dahlgren
wfo-0000212802	wfo-0000212802	Vicia tetrasperma (L.) Schreb.
wfo-0000211531	wfo-0000211531	Aspalathus digitifolia R.Dahlgren
wfo-0000180510	wfo-0000180510	Erythrina acanthocarpa E.Mey.
wfo-0000211305	wfo-0000211305	Aspalathus millefolia R.Dahlgren
wfo-0000211295	wfo-0000211295	Aspalathus chenopoda L.
wfo-0000211507	wfo-0000211507	Aspalathus sanguinea Thunb.
wfo-0000211651	wfo-0000211651	Aspalathus perfoliata (Lam.) R.Dahlgren subsp. perfoliata
wfo-0000207436	wfo-0000207436	Crotalaria podocarpa DC.
wfo-0000211525	wfo-0000211525	Aspalathus pycnantha R.Dahlgren
wfo-0000211421	wfo-0000211421	Aspalathus stokoei L.Bolus
wfo-0000214363	wfo-0000214363	Caesalpinia pulcherrima (L.) Sw.
wfo-0000211229	wfo-0000211229	Aspalathus tridentata L. subsp. tridentata
wfo-0000210678	wfo-0000210678	Crotalaria virgulata Klotzsch
wfo-0000211218	wfo-0000211218	Aspalathus sericea P.J.Bergius
wfo-0000191677	wfo-0000191677	Indigofera delagoaensis Baker f. ex J.B.Gillett
wfo-0000190433	wfo-0000190433	Indigofera arrecta Hochst. ex A.Rich.
wfo-0000211621	wfo-0000211621	Aspalathus divaricata Thunb.
wfo-0000186526	wfo-0000186526	Indigofera decora Lindl.
wfo-0000191637	wfo-0000191637	Indigofera declinata E.Mey.
wfo-0000211456	wfo-0000211456	Aspalathus tuberculata Walp.
wfo-0000192203	wfo-0000192203	Indigofera fulcrata Harv.
wfo-0000211365	wfo-0000211365	Aspalathus uniflora L.
wfo-0000192299	wfo-0000192299	Indigofera galpinii N.E.Br.
wfo-0000193043	wfo-0000193043	Indigofera langebergensis L.Bolus
wfo-0000193621	wfo-0000193621	Indigofera melanadenia Benth. ex Harv.
wfo-0000211198	wfo-0000211198	Aspalathus securifolia Eckl. & Zeyh.
wfo-0000172351	wfo-0000172351	Dalbergia multijuga E.Mey.
wfo-0000194239	wfo-0000194239	Indigofera pappei Fourc.
wfo-0000749702	wfo-0000749702	Listia minima (B.-E.van Wyk) B.-E.van Wyk & Boatwr.
wfo-0000196162	wfo-0000196162	Indigofera velutina E.Mey.
wfo-0000581557	wfo-0000581557	Calpurnia reflexa A.J.Beaumont
wfo-0000212057	wfo-0000212057	Calpurnia glabrata Brummitt
wfo-0000194050	wfo-0000194050	Indigofera obcordata Eckl. & Zeyh.
wfo-0000185067	wfo-0000185067	Lespedeza cuneata (Dum.Cours.) G.Don
wfo-0000200280	wfo-0000200280	Indigofera subulata var. scabra (Roth) Meikle
wfo-0000163956	wfo-0000163956	Senna hirsuta (L.) H.S.Irwin & Barneby
wfo-0000203704	wfo-0000203704	Tephrosia pietersii H.M.L.Forbes
wfo-0000192630	wfo-0000192630	Indigofera heterotricha DC.
wfo-0001055140	wfo-0001055140	Tephrosia longipes Meisn.
wfo-0000210610	wfo-0000210610	Crotalaria meyeriana Steud.
wfo-0000178374	wfo-0000178374	Sesbania punicea (Cav.) Benth.
wfo-0000178299	wfo-0000178299	Sesbania notialis J.B.Gillett
wfo-0000210655	wfo-0000210655	Crotalaria dinteri Schinz
wfo-0000206645	wfo-0000206645	Crotalaria laburnifolia L. subsp. laburnifolia
wfo-0000211157	wfo-0000211157	Wiborgia sericea Thunb.
wfo-0001260429	wfo-0001260429	Liparia boucheri (E.G.H.Oliv. & Fellingham) A.L.Schutte
wfo-0001062526	wfo-0001062526	Liparia angustifolia (Eckl. & Zeyh.) A.L.Schutte
wfo-0001059840	wfo-0001059840	Rafnia schlechteriana Schinz
